,id,title,all
104,503,Poseidon,wolfgang petersen kurt russell richard dreyfuss josh lucas jacinda barrett adventure action drama thriller new year's eve fire drowning cataclysm loss of father atlantic ocean ball self-abandonment shipwreck giant wave blackout ship daughter single escape capsized ship
105,241259,Alice Through the Looking Glass,james bobin johnny depp mia wasikowska anne hathaway helena bonham carter fantasy based on novel clock queen sequel alice in wonderland dark fantasy mad hatter 3d
106,810,Shrek the Third,chris miller mike myers eddie murphy cameron diaz julie andrews fantasy adventure animation comedy family ambush sadness stage liberation of prisoners island traitor shipwreck prince ship donkey kingdom theatre play transformation conciliation tricks heir to the throne assault boarding school coup d'etat teacher best friend dragon cowardliness pregnancy capture duringcreditsstinger
107,68735,Warcraft,duncan jones paula patton travis fimmel ben foster robert kazinsky action adventure fantasy video game elves orcs magic chase based on comic book sorcerer fictional war based on video game wizard fictional language muscles orc sword and sorcery
108,87101,Terminator Genisys,alan taylor arnold schwarzenegger jason clarke emilia clarke jai courtney science fiction action thriller adventure saving the world artificial intelligence cyborg killer robot future time travel dystopia sequel fiction duringcreditsstinger 3d
109,10140,The Chronicles of Narnia: The Voyage of the Dawn Treader,michael apted skandar keynes georgie henley simon pegg gary sweet adventure family fantasy based on novel magic good vs evil king narnia fantasy world knife held to throat snowing quest
110,676,Pearl Harbor,michael bay ben affleck josh hartnett kate beckinsale cuba gooding jr. history romance war nurse patriotism hawaii world war ii pilot pearl harbor u.s. air force airplane war army love pin-up
111,1858,Transformers,michael bay shia labeouf josh duhamel megan fox rachael taylor adventure science fiction action destroy transformation alien based on toy transformers robot duringcreditsstinger teenage hero
112,1966,Alexander,oliver stone colin farrell angelina jolie val kilmer jared leto war history action adventure drama romance aristotle egypt greece persia elephant campaign alexander the great homosexuality gay relationship ancient world
113,675,Harry Potter and the Order of the Phoenix,david yates daniel radcliffe rupert grint emma watson michael gambon adventure fantasy family mystery prophecy witch loss of lover magic cutting the cord child hero dying and death broom sorcerer's apprentice school of witchcraft black magic death of a friend sorcery occultism
114,674,Harry Potter and the Goblet of Fire,mike newell daniel radcliffe rupert grint emma watson ralph fiennes adventure fantasy family magic dying and death broom sorcerer's apprentice school of witchcraft chosen one black magic boarding school vision tournament teenager wizard teenage hero based on young adult novel
115,8960,Hancock,peter berg will smith charlize theron jason bateman jae head fantasy action flying alcohol love of one's life forbidden love lovers affection advertising expert alcoholism invulnerability superhero pokies duringcreditsstinger
116,6479,I Am Legend,francis lawrence will smith alice braga charlie tahan salli richardson-whitfield drama horror action thriller science fiction saving the world lost civilisation post-apocalyptic dystopia matter of life and death alone helplessness virus pandemic
117,118,Charlie and the Chocolate Factory,tim burton johnny depp freddie highmore david kelly annasophia robb adventure comedy family fantasy london england father son relationship chocolate factory worker based on novel parents kids relationship candy overweight child grandfather grandson relationship teacher
118,2062,Ratatouille,jan pinkava patton oswalt ian holm lou romano brian dennehy animation comedy family fantasy paris brother brother relationship expensive restaurant river cook mouse confidence roof window leaving one's family work restaurant critic kitchen spice court cookbook family chef rat
119,272,Batman Begins,christopher nolan christian bale michael caine liam neeson katie holmes action crime drama himalaya martial arts dc comics crime fighter secret identity undercover hero loss of father society gotham city vigilante superhero based on comic book rivalry tragic hero ninja good vs evil crime super powers haunted by the past evil doctor escapade master villain fighting crime unfulfillment love and romance unfulfilled love
120,10527,Madagascar: Escape 2 Africa,eric darnell ben stiller jada pinkett smith david schwimmer chris rock family animation africa jealousy dance hunger lion zoo hippopotamus chimp penguin volcano madagascar airplane zebra sequel shark imax duringcreditsstinger
121,18360,Night at the Museum: Battle of the Smithsonian,shawn levy ben stiller amy adams owen wilson hank azaria adventure fantasy action comedy family museum theodore roosevelt duringcreditsstinger amelia earhart smithsonian
122,2080,X-Men Origins: Wolverine,gavin hood hugh jackman liev schreiber danny huston lynn collins adventure action thriller science fiction corruption mutant boxer army marvel comic superhero aftercreditsstinger duringcreditsstinger
123,605,The Matrix Revolutions,lilly wachowski keanu reeves laurence fishburne carrie-anne moss hugo weaving adventure action thriller science fiction saving the world artificial intelligence man vs machine flying philosophy fortune teller kung fu underground world killer robot temple subway dream sun hero fight sunlight computer virus key future precognition super computer machine town ying yang dying and death virtual reality dystopia computer faith world religion truth rescue mission cyberpunk woman director yin yang gnosticism
124,109445,Frozen,chris buck kristen bell idina menzel jonathan groff josh gad animation adventure family queen musical princess betrayal snowman animation reindeer curse snow troll mountain climber aftercreditsstinger woman director 3d
125,604,The Matrix Reloaded,lilly wachowski keanu reeves carrie-anne moss laurence fishburne hugo weaving adventure action thriller science fiction saving the world artificial intelligence man vs machine martial arts kung fu underground world dream hero fight computer virus key future plato precognition rave dying and death virtual reality dystopia computer faith world religion truth mission cyberpunk woman director gnosticism
126,76338,Thor: The Dark World,alan taylor chris hemsworth natalie portman tom hiddleston anthony hopkins action adventure fantasy marvel comic superhero based on comic book hostile takeover norse mythology aftercreditsstinger duringcreditsstinger marvel cinematic universe 3d asgard
127,76341,Mad Max: Fury Road,george miller tom hardy charlize theron nicholas hoult hugh keays-byrne action adventure science fiction thriller future chase post-apocalyptic dystopia australia rescue survival on the run convoy peak oil dark future
128,13448,Angels & Demons,ron howard tom hanks ewan mcgregor ayelet zurer stellan skarsgård thriller mystery rome vatican based on novel symbolism christian illuminati quantum mechanics prequel anti matter conspiracy investigator catholicism cern
129,10195,Thor,kenneth branagh chris hemsworth natalie portman tom hiddleston anthony hopkins adventure fantasy action new mexico banishment shield marvel comic hammer superhero based on comic book redemption norse mythology aftercreditsstinger marvel cinematic universe 3d asgard odin heimdall
130,13053,Bolt,chris williams john travolta miley cyrus susie essman mark walton animation family adventure comedy hamster kids and family animal cat vs dog duringcreditsstinger dog cat friendship animal lead girl dog relationship
131,19585,G-Force,hoyt yeatman sam rockwell penélope cruz tracy morgan jon favreau fantasy action adventure family comedy dyr duringcreditsstinger
132,57165,Wrath of the Titans,jonathan liebesman sam worthington liam neeson ralph fiennes edgar ramírez adventure underworld hades mythology greek mythology zeus perseus gods ancient greece based on greek myth ares 3d
133,62213,Dark Shadows,tim burton johnny depp michelle pfeiffer helena bonham carter jackie earle haley comedy fantasy witch imprisonment vampire curse fish out of water chains gothic madness old house lost love angry mob 18th century ghost hidden room old mansion
134,177677,Mission: Impossible - Rogue Nation,christopher mcquarrie tom cruise rebecca ferguson simon pegg jeremy renner action adventure thriller london england spy austria villain sequel mission conspiracy vienna opera vienna
135,7978,The Wolfman,joe johnston benicio del toro anthony hopkins emily blunt hugo weaving drama horror thriller father son relationship victorian england remake rural setting werewolf
136,5559,Bee Movie,steve hickner jerry seinfeld renée zellweger jim cummings matthew broderick family animation adventure comedy factory worker tennis flower florist flower shop pilot college airplane beehive court aftercreditsstinger
137,49444,Kung Fu Panda 2,jennifer yuh nelson jack black angelina jolie dustin hoffman gary oldman animation family martial arts hope fleet panda mission woman director
138,10196,The Last Airbender,m. night shyamalan noah ringer nicola peltz jackson rathbone dev patel action adventure family fantasy fire ice war ship prince kingdom water village arrest remake attack avatar air spirit world domination cheering
139,956,Mission: Impossible III,j.j. abrams tom cruise philip seymour hoffman ving rhames billy crudup adventure action thriller berlin cia vatican white house secret identity secret explosive mobile phone map traitor mask honeymoon shanghai pretended murder secret mission letter funeral covered investigation to shoot dead secret agent video stamp hard drive e-mail decipherment suitcase computer revenge murder mission hospital duel disguise celebration good and bad research laboratory blast
140,117251,White House Down,roland emmerich channing tatum jamie foxx joey king maggie gyllenhaal action drama thriller usa president conspiracy secret service the white house
141,50321,Mars Needs Moms,simon wells seth green joan cusack dan fogler breckin meyer adventure animation family boy alien rescue martian alien abduction alien invasion based on children's book duringcreditsstinger
142,11619,Flushed Away,david bowers hugh jackman kate winslet ian mckellen jean reno adventure animation comedy family london england underworld return ship frog girlfriend rubin
143,266647,Pan,joe wright levi miller garrett hedlund hugh jackman rooney mara adventure family fantasy flying magic fairy tale peter pan mermaid pirate fantasy world
144,82703,Mr. Peabody & Sherman,rob minkoff ty burrell max charles ariel winter allison janney animation adventure family father son relationship egypt intelligence adoption time travel boy child prodigy friendship growing up children talking animal talking dog dog first love ancient egypt time traveler duringcreditsstinger new school george washington gags trouble time paradox prodigy
145,652,Troy,wolfgang petersen brad pitt orlando bloom eric bana brian cox adventure drama war brother brother relationship adultery mythology beauty trojan war bravery wall fraud hostility epic sword fight battlefield ancient world pyre ancient greece trojan horse trojan bronze age sparta greece helen of troy homer's iliad
146,80321,Madagascar 3: Europe's Most Wanted,conrad vernon ben stiller sacha baron cohen david schwimmer frances mcdormand animation family madagascar 3d
147,36669,Die Another Day,lee tamahori pierce brosnan halle berry rosamund pike rick yune adventure action thriller laser british secret service secret service agent space based weapon
